Date,Rolling variance
2023-02-09,2112111.0962804873
2023-02-10,1478034.9674745032
2023-02-11,1062248.9182508881
2023-02-12,853469.056933786
2023-02-13,789603.3702990521
2023-02-14,698029.8624870805
2023-02-15,724519.7238112884
2023-02-16,670665.6115501457
2023-02-17,620365.1735193825
2023-02-18,601944.6232333075
2023-02-19,656164.0206510259
2023-02-20,757429.7395945981
2023-02-21,808072.9553188351
2023-02-22,839363.3535197348
2023-02-23,843818.7965144445
2023-02-24,843221.506010978
2023-02-25,841593.6364724801
2023-02-26,842922.8666346436
2023-02-27,842268.9357999865
2023-02-28,835047.0871285822
2023-03-01,832063.5777457705
2023-03-02,831862.8155165927
2023-03-03,855867.5342706018
2023-03-04,882481.7993303218
2023-03-05,902035.6280307763
2023-03-06,921281.3899989902
2023-03-07,950470.4686739068
2023-03-08,1014726.1932988664
2023-03-09,1265605.02189251
2023-03-10,1533220.0410900018
2023-03-11,1670861.3647568633
2023-03-12,1635893.0859586503
2023-03-13,1650411.440427561
2023-03-14,1698418.5302769088
2023-03-15,1692775.6501416673
2023-03-16,1775372.803980084
2023-03-17,2323988.821851435
2023-03-18,2755967.661713638
2023-03-19,3418936.5335542085
2023-03-20,3970832.809880062
2023-03-21,4631988.9426194765
2023-03-22,5008410.740192185
2023-03-23,5657022.314067655
2023-03-24,6055570.914850551
2023-03-25,6426116.780686345
2023-03-26,6839833.123230328
2023-03-27,7021968.038115347
2023-03-28,7225294.202969126
2023-03-29,7616034.922374438
2023-03-30,7840816.276790984
2023-03-31,8166434.363227392
2023-04-01,8403028.129924104
2023-04-02,8343971.702633394
2023-04-03,8140064.600872519
2023-04-04,7942406.9471909795
2023-04-05,7669174.552242114
2023-04-06,7245792.565346364
2023-04-07,6575974.363765703
2023-04-08,5288663.267564426
2023-04-09,3817686.924855013
2023-04-10,2559796.3004843425
2023-04-11,1863992.7090749005
2023-04-12,1653053.3462724716
2023-04-13,1534632.0689081093
2023-04-14,1264312.8546620356
2023-04-15,1055022.3733517756
2023-04-16,1149089.7546376882
2023-04-17,1100881.2794722964
2023-04-18,1206633.7038806942
2023-04-19,1182613.1100547924
2023-04-20,1180518.5129821287
2023-04-21,1183365.3611988456
2023-04-22,1203295.086060874
2023-04-23,1195948.0566741158
2023-04-24,1193581.0618818651
2023-04-25,1183098.3729765583
2023-04-26,1105114.4086763207
2023-04-27,1051881.6793632463
2023-04-28,1056679.966383548
2023-04-29,1042439.6692083168
2023-04-30,1044033.5585313422
2023-05-01,1057273.7682831213
2023-05-02,1043499.903853438
2023-05-03,1002826.3695528245
2023-05-04,983753.4132479586
2023-05-05,975093.1238076325
2023-05-06,944748.9657419658
2023-05-07,914882.8284686038
2023-05-08,935731.5744144142
2023-05-09,982330.447807907
2023-05-10,1026532.9533044584
2023-05-11,1081677.902215931
2023-05-12,1146900.9191285972
2023-05-13,1158940.0215171769
2023-05-14,1112893.9664936333
2023-05-15,1038180.5515289144
2023-05-16,953673.3486819844
2023-05-17,924263.734697724
2023-05-18,802578.6262513392
2023-05-19,825497.3838989682
2023-05-20,847807.0746753027
2023-05-21,881531.7695970321
2023-05-22,920914.5703553435
2023-05-23,933388.5200478308
2023-05-24,1011157.3823316897
2023-05-25,1066099.1340109208
2023-05-26,1089241.2137345665
2023-05-27,1003909.6488181716
2023-05-28,910366.1379654162
2023-05-29,815930.1888235959
2023-05-30,713209.3117932032
2023-05-31,703497.0540047454
2023-06-01,664784.5863751086
2023-06-02,575169.9316811829
2023-06-03,497912.9880017381
2023-06-04,320165.8849800602
2023-06-05,284301.6424884487
2023-06-06,221178.92693542823
2023-06-07,224101.2405658683
2023-06-08,218262.780758797
2023-06-09,212016.8338452315
2023-06-10,252252.68160021695
2023-06-11,283707.3627750642
2023-06-12,315782.6241673709
2023-06-13,344717.2572980065
2023-06-14,434466.5042818529
2023-06-15,477029.28769408923
2023-06-16,464013.23975905695
2023-06-17,463842.7334744502
2023-06-18,465217.6461866195
2023-06-19,458397.4303379435
2023-06-20,554313.1497956199
2023-06-21,927386.5542488738
2023-06-22,1248894.908163342
2023-06-23,1719227.53837951
2023-06-24,2118247.5888045286
2023-06-25,2475531.8098912076
2023-06-26,2763721.047221735
2023-06-27,3112837.837309886
2023-06-28,3337495.2337887604
2023-06-29,3614624.5625454774
2023-06-30,3870637.702761423
2023-07-01,4099181.980378107
2023-07-02,4329381.1810379345
2023-07-03,4623945.142682718
2023-07-04,4813194.856696627
2023-07-05,4747182.775409469
2023-07-06,4767782.306205863
2023-07-07,4704614.947103171
2023-07-08,4625633.490821745
2023-07-09,4497907.964582128
2023-07-10,4235977.593081727
2023-07-11,3965245.680546391
2023-07-12,3616954.7002468854
2023-07-13,3332531.0616771444
2023-07-14,2653667.531032451
2023-07-15,2052081.3549493789
2023-07-16,1608487.9884037108
2023-07-17,1175745.2812717166
2023-07-18,671422.0147618026
2023-07-19,269888.4649096247
2023-07-20,138679.42037709177
2023-07-21,142058.08786181256
2023-07-22,147240.30039370304
2023-07-23,146162.34633398172
2023-07-24,190491.49714163312
2023-07-25,227974.28159281405
2023-07-26,255675.60953018873
2023-07-27,282388.2436626576
2023-07-28,307325.35525879427
2023-07-29,325499.87981415953
2023-07-30,344465.77375674655
2023-07-31,358748.96366348764
2023-08-01,350648.6755995675
2023-08-02,325849.50284034427
2023-08-03,318860.6297647867
2023-08-04,325809.95126620564
2023-08-05,346737.4815690499
2023-08-06,355477.92287987156
2023-08-07,356455.9554426342
2023-08-08,349618.63301935385
2023-08-09,332856.5827143906
2023-08-10,303581.64878045354
2023-08-11,285613.07439905684
2023-08-12,162809.12518165386
2023-08-13,142605.2264828702
2023-08-14,120902.0186839188
2023-08-15,102672.28841200487
2023-08-16,102555.90118212705
2023-08-17,341371.2197085028
2023-08-18,673453.6498076137
2023-08-19,968526.4122159204
2023-08-20,1206819.5427544883
2023-08-21,1435100.9306655377
2023-08-22,1622088.1182164946
2023-08-23,1775350.370823323
2023-08-24,1949117.6492085885
2023-08-25,2110928.154720678
2023-08-26,2263899.000674555
2023-08-27,2373164.1936124144
2023-08-28,2452865.7327486393
2023-08-29,2400099.203014705
2023-08-30,2358158.1131847533
2023-08-31,2371283.6753410776
2023-09-01,2431336.0590357045
2023-09-02,2454486.150706862
2023-09-03,2453719.6164783444
2023-09-04,2450469.154281031
2023-09-05,2426526.1756768916
2023-09-06,2361782.770458173
2023-09-07,2136717.431262505
2023-09-08,1941031.9720953875
2023-09-09,1739957.4822125747
2023-09-10,1519711.6422998093
2023-09-11,1314279.6551409622
2023-09-12,1053173.1718783195
2023-09-13,731149.8200289372
2023-09-14,440548.5413810233
2023-09-15,226805.65407075378
2023-09-16,223629.50430621748
2023-09-17,228555.06480062756
2023-09-18,240432.07655752113
2023-09-19,276278.1064554767
2023-09-20,304269.8029848109
2023-09-21,306064.4364778335
2023-09-22,308544.64930612035
2023-09-23,311391.128496869
2023-09-24,309514.51916093094
2023-09-25,306770.5149611783
2023-09-26,305502.41312109266
2023-09-27,304236.848385525
2023-09-28,251747.92984377954
2023-09-29,229772.42410221332
2023-09-30,241268.51080071545
2023-10-01,324030.33883811394
2023-10-02,357635.50908790703
2023-10-03,381921.538887964
2023-10-04,421634.4029154822
2023-10-05,424056.1767319075
2023-10-06,455763.63633017143
2023-10-07,503312.9644352582
2023-10-08,524596.4465081923
2023-10-09,514051.16818956856
2023-10-10,484729.4829955746
2023-10-11,376086.963841946
2023-10-12,332289.90302399185
2023-10-13,312027.5110180959
2023-10-14,304832.37587660353
2023-10-15,298941.3485978942
2023-10-16,361239.3644086341
